date,death,cvd,resp
1987-03-23,125,63,6
1987-03-24,132,73,5
1987-03-25,134,67,9
1987-03-26,107,63,6
1987-03-27,102,57,6
1987-03-28,128,68,2
1987-03-29,101,43,5
1987-03-30,125,66,13
1987-03-31,106,53,3
1987-04-01,119,57,7
1987-04-02,91,48,9
1987-04-03,120,53,9
1987-04-04,123,54,7
1987-04-05,108,58,5
1987-04-06,117,56,10
1987-04-07,134,53,15
1987-04-08,120,61,6
1987-04-09,120,55,8
1987-04-10,110,54,7
1987-04-11,111,48,8
1987-04-12,129,60,19
1987-04-13,93,53,8
1987-04-14,140,79,7
1987-04-15,106,54,11
1987-04-16,110,51,7
1987-04-17,115,64,13
1987-04-18,106,57,7
1987-04-19,105,47,9
1987-04-20,120,57,9
1987-04-21,97,44,10
1987-04-22,136,73,7
1987-04-23,112,58,4
1987-04-24,108,43,10
1987-04-25,130,61,7
1987-04-26,102,48,6
1987-04-27,107,57,7
1987-04-28,118,61,4
1987-04-29,110,51,9
1987-04-30,101,52,6
1987-05-01,117,56,5
1987-05-02,123,61,11
1987-05-03,110,56,6
1987-05-04,108,60,7
1987-05-05,134,67,11
1987-05-06,131,64,9
1987-05-07,126,67,9
1987-05-08,108,43,7
1987-05-09,112,56,6
1987-05-10,116,57,8
1987-05-11,131,59,16
1987-05-12,123,63,2
1987-05-13,104,57,7
1987-05-14,123,65,13
1987-05-15,105,42,9
1987-05-16,108,43,11
1987-05-17,123,53,8
1987-05-18,134,62,12
1987-05-19,101,48,12
1987-05-20,114,55,7
1987-05-21,125,59,4
1987-05-22,111,52,8
1987-05-23,107,54,3
1987-05-24,105,58,7
1987-05-25,115,52,17
1987-05-26,106,52,6
1987-05-27,113,57,12
1987-05-28,104,44,8
1987-05-29,106,54,7
1987-05-30,115,62,10
1987-05-31,102,54,4
1987-06-01,112,60,5
1987-06-02,111,57,7
1987-06-03,120,59,9
1987-06-04,103,50,14
1987-06-05,98,43,8
1987-06-06,101,46,8
1987-06-07,102,45,8
1987-06-08,143,74,8
1987-06-09,88,30,7
1987-06-10,106,57,3
1987-06-11,96,45,3
1987-06-12,117,58,13
1987-06-13,97,49,6
1987-06-14,146,63,11
1987-06-15,120,56,14
1987-06-16,109,49,6
1987-06-17,112,59,11
1987-06-18,132,69,12
1987-06-19,106,55,4
1987-06-20,122,51,8
1987-06-21,112,51,6
1987-06-22,117,58,3
1987-06-23,100,45,7
1987-06-24,108,48,11
1987-06-25,126,62,7
1987-06-26,105,49,5
1987-06-27,111,55,7
1987-06-28,122,51,5
1987-06-29,108,53,6
1987-06-30,106,47,11
1987-07-01,104,54,6
1987-07-02,120,59,10
1987-07-03,112,47,6
1987-07-04,101,45,4
1987-07-05,114,58,3
1987-07-06,113,57,8
1987-07-07,119,58,7
1987-07-08,126,61,7
1987-07-09,108,47,7
1987-07-10,95,50,6
1987-07-11,125,59,10
1987-07-12,119,61,9
1987-07-13,77,33,3
1987-07-14,113,64,4
1987-07-15,110,53,6
1987-07-16,108,53,12
1987-07-17,102,46,5
1987-07-18,110,52,8
1987-07-19,129,60,7
1987-07-20,140,67,7
1987-07-21,105,57,7
1987-07-22,110,59,8
1987-07-23,121,57,12
1987-07-24,110,65,8
1987-07-25,115,65,9
1987-07-26,105,60,3
1987-07-27,112,56,10
1987-07-28,109,63,3
1987-07-29,125,56,13
1987-07-30,92,50,5
1987-07-31,110,44,7
1987-08-01,113,41,10
1987-08-02,115,57,10
1987-08-03,137,65,11
1987-08-04,112,52,12
1987-08-05,126,56,13
1987-08-06,111,54,5
1987-08-07,95,37,7
1987-08-08,113,59,2
1987-08-09,107,59,4
1987-08-10,96,46,5
1987-08-11,98,44,8
1987-08-12,83,36,7
1987-08-13,121,56,4
1987-08-14,107,50,8
1987-08-15,115,47,10
1987-08-16,125,63,11
1987-08-17,120,59,9
1987-08-18,102,42,4
1987-08-19,102,49,5
1987-08-20,118,51,8
1987-08-21,118,51,8
1987-08-22,107,52,8
1987-08-23,107,54,8
1987-08-24,133,56,11
1987-08-25,107,53,10
1987-08-26,96,45,6
1987-08-27,103,48,6
1987-08-28,117,56,10
1987-08-29,100,53,10
1987-08-30,125,55,13
1987-08-31,113,61,10
1987-09-01,112,60,12
1987-09-02,107,52,13
1987-09-03,122,58,6
1987-09-04,115,54,8
1987-09-05,104,53,7
1987-09-06,118,59,4
1987-09-07,137,62,9
1987-09-08,117,50,8
1987-09-09,104,50,8
1987-09-10,105,51,7
1987-09-11,109,48,8
1987-09-12,121,48,15
1987-09-13,108,51,9
1987-09-14,114,61,5
1987-09-15,108,45,11
1987-09-16,111,56,16
1987-09-17,110,59,7
1987-09-18,107,49,8
1987-09-19,107,57,8
1987-09-20,108,49,8
1987-09-21,139,74,9
1987-09-22,130,59,10
1987-09-23,111,61,10
1987-09-24,112,64,6
1987-09-25,106,60,9
1987-09-26,127,56,8
1987-09-27,110,44,13
1987-09-28,120,60,7
1987-09-29,115,60,8
1987-09-30,120,61,12
1987-10-01,117,59,9
1987-10-02,128,66,8
1987-10-03,115,38,7
1987-10-04,123,56,5
1987-10-05,118,54,10
1987-10-06,137,70,10
1987-10-07,134,64,12
1987-10-08,134,58,6
1987-10-09,115,52,6
1987-10-10,103,41,18
1987-10-11,106,47,5
1987-10-12,123,59,2
1987-10-13,116,51,15
1987-10-14,120,59,6
1987-10-15,130,62,8
1987-10-16,111,56,8
1987-10-17,122,59,14
1987-10-18,121,57,13
1987-10-19,117,57,6
1987-10-20,111,53,10
1987-10-21,114,56,3
1987-10-22,104,43,5
1987-10-23,98,43,5
1987-10-24,139,66,16
1987-10-25,126,65,6
1987-10-26,115,65,12
1987-10-27,119,61,8
1987-10-28,114,58,13
1987-10-29,123,63,13
1987-10-30,125,62,7
1987-10-31,116,53,11
1987-11-01,118,56,5
1987-11-02,138,65,9
1987-11-03,98,46,5
1987-11-04,114,51,11
1987-11-05,117,55,10
1987-11-06,108,53,7
1987-11-07,109,49,7
1987-11-08,121,66,9
1987-11-09,109,39,6
1987-11-10,127,69,7
1987-11-11,143,73,10
1987-11-12,118,59,6
1987-11-13,113,61,5
1987-11-14,125,61,8
1987-11-15,108,48,7
1987-11-16,100,51,10
1987-11-17,112,51,5
1987-11-18,106,53,6
1987-11-19,128,65,10
1987-11-20,128,54,11
1987-11-21,121,63,5
1987-11-22,128,66,11
1987-11-23,127,66,6
1987-11-24,113,54,8
1987-11-25,117,53,10
1987-11-26,114,58,7
1987-11-27,117,55,5
1987-11-28,115,56,11
1987-11-29,103,55,6
1987-11-30,101,59,5
1987-12-01,134,68,9
1987-12-02,93,47,3
1987-12-03,116,57,8
1987-12-04,128,73,5
1987-12-05,109,42,6
1987-12-06,142,80,11
1987-12-07,124,68,6
1987-12-08,112,57,8
1987-12-09,116,52,12
1987-12-10,136,70,7
1987-12-11,138,59,8
1987-12-12,136,60,11
1987-12-13,108,56,6
1987-12-14,125,55,8
1987-12-15,140,83,15
1987-12-16,149,70,11
1987-12-17,118,60,8
1987-12-18,131,67,10
1987-12-19,111,58,13
1987-12-20,130,75,10
1987-12-21,125,65,10
1987-12-22,121,53,10
1987-12-23,144,73,11
1987-12-24,126,57,12
1987-12-25,124,65,9
1987-12-26,119,69,11
1987-12-27,116,62,6
1987-12-28,156,80,11
1987-12-29,112,47,12
1987-12-30,116,62,16
1987-12-31,148,79,14
1988-01-01,108,42,16
1988-01-02,124,51,12
1988-01-03,138,69,5
1988-01-04,132,74,4
1988-01-05,112,57,10
1988-01-06,131,53,12
1988-01-07,140,75,10
1988-01-08,123,68,7
1988-01-09,126,73,8
1988-01-10,121,58,15
1988-01-11,148,80,13
1988-01-12,146,79,9
1988-01-13,119,62,10
1988-01-14,127,50,8
1988-01-15,118,55,14
1988-01-16,137,63,10
1988-01-17,138,58,16
1988-01-18,117,56,7
1988-01-19,125,76,11
1988-01-20,126,67,14
1988-01-21,100,55,10
1988-01-22,126,73,3
1988-01-23,131,70,12
1988-01-24,115,61,9
1988-01-25,142,69,8
1988-01-26,122,61,9
1988-01-27,124,65,9
1988-01-28,112,54,7
1988-01-29,126,62,11
1988-01-30,127,62,7
1988-01-31,118,62,8
1988-02-01,119,57,8
1988-02-02,111,55,8
1988-02-03,120,64,10
1988-02-04,135,76,9
1988-02-05,119,65,4
1988-02-06,110,54,10
1988-02-07,123,65,12
1988-02-08,108,61,8
1988-02-09,135,77,8
1988-02-10,124,63,5
1988-02-11,131,73,10
1988-02-12,139,72,10
1988-02-13,113,58,13
1988-02-14,126,57,12
1988-02-15,138,76,11
1988-02-16,119,60,8
1988-02-17,122,55,7
1988-02-18,124,63,6
1988-02-19,128,65,9
1988-02-20,147,62,18
1988-02-21,125,64,8
1988-02-22,156,77,11
1988-02-23,123,60,12
1988-02-24,119,59,11
1988-02-25,131,65,9
1988-02-26,117,54,7
1988-02-27,145,61,14
1988-02-28,126,65,7
1988-02-29,112,47,8
1988-03-01,111,63,5
1988-03-02,117,61,9
1988-03-03,118,55,9
1988-03-04,116,54,9
1988-03-05,144,71,15
1988-03-06,132,62,7
1988-03-07,142,72,10
1988-03-08,154,67,17
1988-03-09,142,77,13
1988-03-10,110,56,7
1988-03-11,126,64,8
1988-03-12,137,58,13
1988-03-13,130,60,13
1988-03-14,132,62,11
1988-03-15,112,57,6
1988-03-16,130,65,13
1988-03-17,138,72,13
1988-03-18,130,64,8
1988-03-19,109,53,11
1988-03-20,117,67,12
1988-03-21,145,85,6
1988-03-22,124,63,15
1988-03-23,136,64,10
1988-03-24,113,55,5
1988-03-25,132,76,7
1988-03-26,140,67,14
1988-03-27,139,66,9
1988-03-28,121,58,7
1988-03-29,139,63,15
1988-03-30,122,62,6
1988-03-31,113,58,10
1988-04-01,121,61,7
1988-04-02,125,64,10
1988-04-03,120,50,11
1988-04-04,130,75,12
1988-04-05,144,62,10
1988-04-06,111,55,8
1988-04-07,133,65,11
1988-04-08,125,60,17
1988-04-09,126,53,11
1988-04-10,121,62,9
1988-04-11,118,58,14
1988-04-12,116,53,5
1988-04-13,87,39,5
1988-04-14,122,61,6
1988-04-15,116,62,11
1988-04-16,123,63,8
1988-04-17,118,59,9
1988-04-18,109,50,12
1988-04-19,117,45,20
1988-04-20,110,59,12
1988-04-21,150,85,16
1988-04-22,122,60,8
1988-04-23,117,56,11
1988-04-24,94,40,11
1988-04-25,116,60,12
1988-04-26,121,55,11
1988-04-27,122,57,15
1988-04-28,109,56,13
1988-04-29,123,57,13
1988-04-30,100,46,8
1988-05-01,110,48,5
1988-05-02,125,60,7
1988-05-03,127,68,11
1988-05-04,113,51,9
1988-05-05,115,60,7
1988-05-06,115,58,11
1988-05-07,129,65,11
1988-05-08,137,65,9
1988-05-09,134,75,10
1988-05-10,124,57,9
1988-05-11,121,64,11
1988-05-12,107,47,10
1988-05-13,112,57,7
1988-05-14,106,45,13
1988-05-15,121,60,8
1988-05-16,113,55,12
1988-05-17,93,54,5
1988-05-18,108,61,3
1988-05-19,104,48,8
1988-05-20,106,50,8
1988-05-21,121,55,12
1988-05-22,108,50,4
1988-05-23,111,58,7
1988-05-24,109,57,4
1988-05-25,104,52,8
1988-05-26,115,51,10
1988-05-27,116,54,5
1988-05-28,128,66,13
1988-05-29,128,65,6
1988-05-30,115,56,12
1988-05-31,146,67,14
1988-06-01,114,56,11
1988-06-02,107,46,10
1988-06-03,101,52,3
1988-06-04,117,64,5
1988-06-05,115,57,8
1988-06-06,120,53,8
1988-06-07,102,43,8
1988-06-08,103,48,8
1988-06-09,103,50,12
1988-06-10,127,59,11
1988-06-11,123,52,12
1988-06-12,110,54,8
1988-06-13,98,42,9
1988-06-14,129,51,10
1988-06-15,102,49,9
1988-06-16,112,46,7
1988-06-17,95,53,9
1988-06-18,137,60,9
1988-06-19,116,46,6
1988-06-20,114,70,6
1988-06-21,109,52,10
1988-06-22,122,65,6
1988-06-23,112,59,10
1988-06-24,108,46,6
1988-06-25,122,53,11
1988-06-26,118,60,12
1988-06-27,105,56,8
1988-06-28,89,44,10
1988-06-29,115,58,1
1988-06-30,116,61,8
1988-07-01,116,59,10
1988-07-02,108,41,6
1988-07-03,108,58,6
1988-07-04,123,49,9
1988-07-05,120,62,5
1988-07-06,134,71,6
1988-07-07,102,46,10
1988-07-08,131,70,5
1988-07-09,105,52,4
1988-07-10,109,60,9
1988-07-11,98,43,10
1988-07-12,108,60,4
1988-07-13,108,57,9
1988-07-14,109,48,8
1988-07-15,99,51,4
1988-07-16,123,63,9
1988-07-17,109,68,6
1988-07-18,101,55,8
1988-07-19,119,55,15
1988-07-20,132,65,10
1988-07-21,115,62,9
1988-07-22,99,52,2
1988-07-23,106,45,9
1988-07-24,112,45,7
1988-07-25,115,56,7
1988-07-26,121,62,10
1988-07-27,110,55,7
1988-07-28,96,41,7
1988-07-29,121,70,12
1988-07-30,110,57,3
1988-07-31,89,43,7
1988-08-01,123,58,4
1988-08-02,139,71,5
1988-08-03,125,58,7
1988-08-04,146,69,11
1988-08-05,152,78,10
1988-08-06,121,65,5
1988-08-07,130,71,10
1988-08-08,144,65,12
1988-08-09,108,45,8
1988-08-10,110,48,9
1988-08-11,114,54,6
1988-08-12,95,45,9
1988-08-13,102,51,6
1988-08-14,113,62,5
1988-08-15,132,69,7
1988-08-16,106,42,10
1988-08-17,141,83,8
1988-08-18,168,94,10
1988-08-19,125,67,7
1988-08-20,100,55,6
1988-08-21,85,37,6
1988-08-22,92,41,8
1988-08-23,117,54,9
1988-08-24,124,62,12
1988-08-25,103,52,4
1988-08-26,112,56,9
1988-08-27,98,50,5
1988-08-28,79,40,5
1988-08-29,114,64,11
1988-08-30,95,41,9
1988-08-31,112,56,7
1988-09-01,121,50,10
1988-09-02,120,54,6
1988-09-03,105,41,8
1988-09-04,108,41,9
1988-09-05,106,51,8
1988-09-06,119,64,13
1988-09-07,120,58,7
1988-09-08,117,57,5
1988-09-09,112,47,10
1988-09-10,129,60,15
1988-09-11,123,62,15
1988-09-12,133,62,7
1988-09-13,102,40,5
1988-09-14,99,44,6
1988-09-15,104,49,6
1988-09-16,117,49,9
1988-09-17,103,39,6
1988-09-18,121,47,7
1988-09-19,103,59,6
1988-09-20,128,56,10
1988-09-21,101,48,9
1988-09-22,128,60,7
1988-09-23,107,56,11
1988-09-24,95,48,0
1988-09-25,120,63,7
1988-09-26,107,54,7
1988-09-27,107,50,8
1988-09-28,130,60,9
1988-09-29,85,42,4
1988-09-30,138,53,9
1988-10-01,109,42,7
1988-10-02,108,48,9
1988-10-03,129,54,9
1988-10-04,122,60,9
1988-10-05,97,49,4
1988-10-06,117,58,7
1988-10-07,124,57,7
1988-10-08,110,51,14
1988-10-09,107,54,7
1988-10-10,118,57,6
1988-10-11,108,56,11
1988-10-12,112,49,15
1988-10-13,108,55,5
1988-10-14,106,53,11
1988-10-15,139,67,12
1988-10-16,120,60,11
1988-10-17,121,53,9
1988-10-18,121,65,9
1988-10-19,118,54,12
1988-10-20,123,63,6
1988-10-21,101,55,5
1988-10-22,94,49,5
1988-10-23,115,59,7
1988-10-24,115,53,4
1988-10-25,138,68,11
1988-10-26,132,72,9
1988-10-27,131,71,3
1988-10-28,129,61,10
1988-10-29,114,56,12
1988-10-30,120,63,8
1988-10-31,116,61,7
1988-11-01,139,74,9
1988-11-02,125,52,19
1988-11-03,132,62,12
1988-11-04,133,57,6
1988-11-05,125,66,7
1988-11-06,105,46,8
1988-11-07,114,63,8
1988-11-08,108,48,7
1988-11-09,111,53,11
1988-11-10,93,36,13
1988-11-11,108,57,2
1988-11-12,120,60,10
1988-11-13,124,61,10
1988-11-14,118,54,6
1988-11-15,132,61,12
1988-11-16,127,55,10
1988-11-17,108,50,6
1988-11-18,134,56,12
1988-11-19,117,63,8
1988-11-20,115,60,7
1988-11-21,109,41,12
1988-11-22,112,58,10
1988-11-23,125,59,6
1988-11-24,122,61,9
1988-11-25,146,72,11
1988-11-26,112,55,7
1988-11-27,106,51,8
1988-11-28,105,59,4
1988-11-29,100,56,5
1988-11-30,113,54,12
1988-12-01,109,59,12
1988-12-02,128,59,5
1988-12-03,116,59,4
1988-12-04,97,44,8
1988-12-05,115,60,11
1988-12-06,109,49,6
1988-12-07,122,63,5
1988-12-08,121,54,11
1988-12-09,98,47,12
1988-12-10,132,68,5
1988-12-11,103,51,6
1988-12-12,132,65,9
1988-12-13,123,64,5
1988-12-14,132,62,12
1988-12-15,139,80,4
1988-12-16,118,64,9
1988-12-17,117,46,14
1988-12-18,110,63,5
1988-12-19,106,42,9
1988-12-20,146,68,11
1988-12-21,108,50,13
1988-12-22,136,73,6
1988-12-23,129,57,14
1988-12-24,108,49,7
1988-12-25,135,60,13
1988-12-26,148,75,7
1988-12-27,119,64,12
1988-12-28,116,58,11
1988-12-29,112,54,9
1988-12-30,132,58,10
1988-12-31,141,65,15
1989-01-01,122,68,6
1989-01-02,118,55,16
1989-01-03,134,69,11
1989-01-04,123,66,7
1989-01-05,132,56,8
1989-01-06,105,57,8
1989-01-07,109,52,5
1989-01-08,109,58,7
1989-01-09,146,73,9
1989-01-10,119,49,10
1989-01-11,127,50,14
1989-01-12,127,48,11
1989-01-13,117,58,10
1989-01-14,131,61,10
1989-01-15,125,52,11
1989-01-16,114,55,9
1989-01-17,138,66,11
1989-01-18,91,39,8
1989-01-19,112,59,8
1989-01-20,105,50,9
1989-01-21,105,48,12
1989-01-22,119,47,11
1989-01-23,144,67,13
1989-01-24,139,61,14
1989-01-25,115,58,11
1989-01-26,114,47,9
1989-01-27,120,54,12
1989-01-28,110,54,9
1989-01-29,97,40,8
1989-01-30,122,59,7
1989-01-31,133,60,10
1989-02-01,117,58,8
1989-02-02,120,50,9
1989-02-03,127,61,10
1989-02-04,121,55,14
1989-02-05,116,54,11
1989-02-06,130,53,8
1989-02-07,128,63,9
1989-02-08,132,56,12
1989-02-09,117,55,8
1989-02-10,121,56,15
1989-02-11,136,70,14
1989-02-12,119,52,21
1989-02-13,135,61,10
1989-02-14,136,60,13
1989-02-15,130,64,8
1989-02-16,126,54,13
1989-02-17,147,63,10
1989-02-18,117,50,13
1989-02-19,103,55,9
1989-02-20,121,56,21
1989-02-21,114,59,11
1989-02-22,113,57,15
1989-02-23,114,52,7
1989-02-24,120,49,13
1989-02-25,133,53,15
1989-02-26,108,49,12
1989-02-27,134,63,17
1989-02-28,135,60,11
1989-03-01,134,57,15
1989-03-02,124,54,8
1989-03-03,125,61,9
1989-03-04,108,55,12
1989-03-05,113,51,15
1989-03-06,147,70,12
1989-03-07,148,63,20
1989-03-08,150,68,20
1989-03-09,145,63,12
1989-03-10,110,47,9
1989-03-11,148,77,9
1989-03-12,128,61,9
1989-03-13,118,64,5
1989-03-14,128,61,8
1989-03-15,117,49,7
1989-03-16,99,36,10
1989-03-17,124,61,12
1989-03-18,132,67,13
1989-03-19,120,45,12
1989-03-20,140,69,14
1989-03-21,123,59,8
1989-03-22,115,51,13
1989-03-23,118,54,9
1989-03-24,127,57,14
1989-03-25,106,47,7
1989-03-26,104,49,8
1989-03-27,144,60,18
1989-03-28,108,52,10
1989-03-29,117,54,10
1989-03-30,104,54,11
1989-03-31,106,49,13
1989-04-01,116,53,7
1989-04-02,115,53,13
1989-04-03,119,47,10
1989-04-04,122,54,13
1989-04-05,110,40,13
1989-04-06,124,63,7
1989-04-07,123,48,17
1989-04-08,92,40,11
1989-04-09,122,56,7
1989-04-10,120,51,9
1989-04-11,102,45,6
1989-04-12,116,49,7
1989-04-13,152,60,13
1989-04-14,134,62,13
1989-04-15,100,42,8
1989-04-16,106,53,13
1989-04-17,107,50,7
1989-04-18,100,30,8
1989-04-19,123,51,12
1989-04-20,112,57,5
1989-04-21,99,44,12
1989-04-22,99,51,8
1989-04-23,115,49,7
1989-04-24,134,54,8
1989-04-25,110,47,8
1989-04-26,104,45,10
1989-04-27,138,70,9
1989-04-28,111,52,9
1989-04-29,107,41,13
1989-04-30,109,46,5
1989-05-01,115,50,8
1989-05-02,125,62,10
1989-05-03,111,46,9
1989-05-04,114,37,15
1989-05-05,118,53,14
1989-05-06,104,36,12
1989-05-07,120,56,10
1989-05-08,128,56,11
1989-05-09,94,43,12
1989-05-10,112,40,15
1989-05-11,119,57,15
1989-05-12,121,45,10
1989-05-13,116,51,8
1989-05-14,113,48,9
1989-05-15,126,56,10
1989-05-16,121,46,12
1989-05-17,102,52,9
1989-05-18,114,47,16
1989-05-19,104,51,4
1989-05-20,122,53,15
1989-05-21,119,55,15
1989-05-22,127,56,3
1989-05-23,120,51,8
1989-05-24,112,57,6
1989-05-25,116,53,13
1989-05-26,102,42,11
1989-05-27,110,45,7
1989-05-28,116,57,7
1989-05-29,88,41,7
1989-05-30,121,59,12
1989-05-31,122,51,9
1989-06-01,112,44,13
1989-06-02,114,58,5
1989-06-03,127,52,6
1989-06-04,110,49,9
1989-06-05,110,42,7
1989-06-06,117,60,12
1989-06-07,127,48,12
1989-06-08,111,54,6
1989-06-09,100,51,6
1989-06-10,108,44,9
1989-06-11,116,54,12
1989-06-12,115,47,12
1989-06-13,102,46,8
1989-06-14,122,51,8
1989-06-15,94,41,8
1989-06-16,99,43,4
1989-06-17,94,35,11
1989-06-18,116,48,12
1989-06-19,114,48,4
1989-06-20,111,54,10
1989-06-21,121,51,6
1989-06-22,116,47,6
1989-06-23,98,47,8
1989-06-24,115,44,10
1989-06-25,121,48,11
1989-06-26,98,44,8
1989-06-27,119,49,13
1989-06-28,96,49,10
1989-06-29,104,52,5
1989-06-30,99,51,4
1989-07-01,117,58,16
1989-07-02,113,45,6
1989-07-03,112,52,6
1989-07-04,100,49,3
1989-07-05,125,64,5
1989-07-06,119,43,12
1989-07-07,125,58,12
1989-07-08,112,47,6
1989-07-09,97,46,5
1989-07-10,126,52,8
1989-07-11,112,62,8
1989-07-12,113,55,6
1989-07-13,120,48,5
1989-07-14,104,50,8
1989-07-15,104,38,7
1989-07-16,106,46,9
1989-07-17,109,56,7
1989-07-18,118,49,5
1989-07-19,100,47,8
1989-07-20,101,49,7
1989-07-21,110,52,7
1989-07-22,109,51,4
1989-07-23,121,58,7
1989-07-24,117,45,6
1989-07-25,109,47,5
1989-07-26,117,51,10
1989-07-27,109,56,13
1989-07-28,101,50,7
1989-07-29,98,43,4
1989-07-30,107,47,6
1989-07-31,104,51,6
1989-08-01,122,59,1
1989-08-02,104,48,10
1989-08-03,110,42,11
1989-08-04,115,47,4
1989-08-05,117,55,10
1989-08-06,99,36,11
1989-08-07,126,61,8
1989-08-08,113,59,4
1989-08-09,98,37,14
1989-08-10,115,51,11
1989-08-11,114,51,7
1989-08-12,103,43,8
1989-08-13,80,38,7
1989-08-14,108,46,8
1989-08-15,103,47,6
1989-08-16,105,43,6
1989-08-17,128,59,10
1989-08-18,97,49,5
1989-08-19,123,50,7
1989-08-20,118,60,13
1989-08-21,83,41,8
1989-08-22,128,47,8
1989-08-23,101,47,5
1989-08-24,112,51,6
1989-08-25,106,49,3
1989-08-26,96,39,10
1989-08-27,108,51,12
1989-08-28,111,53,13
1989-08-29,115,52,3
1989-08-30,109,47,11
1989-08-31,104,47,8
1989-09-01,107,42,6
1989-09-02,88,37,8
1989-09-03,113,48,7
1989-09-04,102,46,10
1989-09-05,109,39,2
1989-09-06,108,40,11
1989-09-07,107,49,10
1989-09-08,108,51,5
1989-09-09,121,46,18
1989-09-10,99,43,14
1989-09-11,108,46,5
1989-09-12,99,37,7
1989-09-13,113,49,8
1989-09-14,102,45,6
1989-09-15,110,42,6
1989-09-16,125,55,7
1989-09-17,115,45,8
1989-09-18,130,56,10
1989-09-19,137,66,9
1989-09-20,90,31,10
1989-09-21,126,56,13
1989-09-22,120,57,13
1989-09-23,130,59,12
1989-09-24,119,57,9
1989-09-25,118,55,19
1989-09-26,119,49,9
1989-09-27,112,43,10
1989-09-28,114,55,3
1989-09-29,108,40,11
1989-09-30,123,55,11
1989-10-01,131,50,5
1989-10-02,106,45,5
1989-10-03,103,52,12
1989-10-04,123,66,7
1989-10-05,130,53,13
1989-10-06,106,38,9
1989-10-07,127,52,7
1989-10-08,116,52,9
1989-10-09,131,52,6
1989-10-10,128,65,10
1989-10-11,115,47,9
1989-10-12,115,57,11
1989-10-13,115,49,9
1989-10-14,125,58,8
1989-10-15,118,53,9
1989-10-16,132,66,7
1989-10-17,106,48,11
1989-10-18,115,58,9
1989-10-19,111,54,6
1989-10-20,105,43,8
1989-10-21,123,60,10
1989-10-22,125,56,11
1989-10-23,130,62,8
1989-10-24,127,53,6
1989-10-25,128,60,7
1989-10-26,119,61,4
1989-10-27,117,53,6
1989-10-28,106,40,11
1989-10-29,130,47,15
1989-10-30,109,43,11
1989-10-31,108,43,6
1989-11-01,112,47,6
1989-11-02,117,57,5
1989-11-03,104,52,6
1989-11-04,97,43,1
1989-11-05,130,58,9
1989-11-06,114,59,8
1989-11-07,113,52,9
1989-11-08,106,34,12
1989-11-09,127,64,10
1989-11-10,122,62,13
1989-11-11,140,66,12
1989-11-12,106,54,8
1989-11-13,112,46,8
1989-11-14,108,46,13
1989-11-15,118,51,11
1989-11-16,136,68,4
1989-11-17,127,47,13
1989-11-18,127,55,10
1989-11-19,108,49,10
1989-11-20,127,63,11
1989-11-21,97,49,3
1989-11-22,109,59,9
1989-11-23,106,54,7
1989-11-24,134,50,7
1989-11-25,121,53,10
1989-11-26,115,47,9
1989-11-27,139,61,16
1989-11-28,125,51,6
1989-11-29,96,40,5
1989-11-30,98,49,5
1989-12-01,123,57,4
1989-12-02,114,54,9
1989-12-03,123,48,11
1989-12-04,150,68,18
1989-12-05,104,52,5
1989-12-06,131,63,8
1989-12-07,111,50,8
1989-12-08,120,50,9
1989-12-09,140,74,9
1989-12-10,118,53,11
